experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp2,temp_only,SW2C3,4°C,0,1,1,69.4,0.018666666666666668,0.021,0.019,0.016,69.4,0,0,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,15°C,0,1,1,69.26,0.020666666666666667,0.022,0.02,0.02,69.26,0,0,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,30°C,0,1,1,69.21,0.022000000000000002,0.024,0.021,0.021,69.21,0,0,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,4°C,0,2,3,67.26,0.07300000000000001,0.068,0.08,0.071,69.4,2.1400000000000006,29.31506849315069,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,15°C,0,2,3,68.05,0.2383333333333333,0.234,0.237,0.244,69.26,1.210000000000008,5.07692307692311,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,30°C,0,2,3,69.21,0.16433333333333333,0.167,0.161,0.165,69.21,0,0,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,4°C,0,3,5,61.41,0.08600000000000001,0.089,0.091,0.078,69.4,7.990000000000009,92.90697674418614,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,15°C,0,3,5,65.34,0.2866666666666666,0.28,0.283,0.297,69.26,3.9200000000000017,13.674418604651171,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,30°C,0,3,5,66.83,0.2046666666666667,0.201,0.213,0.2,69.21,2.3799999999999955,11.628664495113982,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,4°C,0,4,7,59.43,0.13266666666666668,0.128,0.137,0.133,69.4,9.970000000000006,75.15075376884425,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,15°C,0,4,7,63.19,0.33966666666666673,0.347,0.33,0.342,69.26,6.070000000000007,17.870461236506397,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,30°C,0,4,7,63.97,0.24966666666666668,0.248,0.255,0.246,69.21,5.239999999999995,20.987983978638162,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,4°C,0,5,9,53.43,0.16033333333333333,0.154,0.168,0.159,69.4,15.970000000000006,99.60498960498964,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,15°C,0,5,9,57.48,0.38133333333333336,0.369,0.385,0.39,69.26,11.780000000000008,30.89160839160841,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,30°C,0,5,9,59.28,0.27666666666666667,0.266,0.287,0.277,69.21,9.929999999999993,35.89156626506021,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,4°C,0,6,11,46.98,0.16666666666666666,0.176,0.151,0.173,69.4,22.42000000000001,134.52000000000007,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,15°C,0,6,11,58,0.39366666666666666,0.392,0.388,0.401,69.26,11.260000000000005,28.60287891617275,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp2,temp_only,SW2C3,30°C,0,6,11,60.57,0.303,0.305,0.311,0.293,69.21,8.639999999999993,28.514851485148494,A2,B. zhangzhouensis,Qaidam,TRUE,Surfactin,TRUE
exp3,temp_only,4-2C6,4°C,0,1,1,69.02,0.026000000000000006,0.025,0.029,0.024,69.02,0,0,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,15°C,0,1,1,69.16,0.02666666666666667,0.027,0.029,0.024,69.16,0,0,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,1,1,69.21,0.025333333333333333,0.028,0.022,0.026,69.21,0,0,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,1,1,69.86,0.025000000000000005,0.031,0.021,0.023,69.86,0,0,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,15°C,0,1,1,69.71,0.028666666666666663,0.028,0.034,0.024,69.71,0,0,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,30°C,0,1,1,69.16,0.027,0.029,0.025,0.027,69.16,0,0,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW4C6,4°C,0,1,1,69.11,0.030666666666666665,0.024,0.034,0.034,69.11,0,0,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,15°C,0,1,1,68.98,0.024333333333333332,0.019,0.027,0.027,68.98,0,0,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,30°C,0,1,1,69.31,0.024000000000000004,0.022,0.025,0.025,69.31,0,0,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,4-2C6,4°C,0,2,3,55.92,0.069,0.072,0.069,0.066,69.02,13.099999999999994,189.855072463768,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,15°C,0,2,3,55.72,0.08333333333333333,0.087,0.089,0.074,69.16,13.439999999999998,161.27999999999997,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,2,3,53.97,0.322,0.318,0.322,0.326,69.21,15.239999999999995,47.32919254658383,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,2,3,69.33,0.049666666666666665,0.043,0.052,0.054,69.86,0.5300000000000011,10.671140939597338,NA,NA,NA,NA,NA,FALSE
