"strain","temperature","salinity_m","mean_dg_OD","CSI_class","species"
"H2E-10C","4C","0.5",97.2845953002611,"Cold-stimulated","P. frigoritolerans"
"H2E-10C","4C","1",229.877300613497,"Cold-stimulated","P. frigoritolerans"
"H2E-10C","4C","1.5",83.717277486911,"Cold-stimulated","P. frigoritolerans"
"H2E-10C","15C","0.5",32.9076396807297,"Cold-stimulated","P. frigoritolerans"
"H2E-10C","15C","1",105.622641509434,"Cold-stimulated","P. frigoritolerans"
"H2E-10C","15C","1.5",329.117647058824,"Cold-stimulated","P. frigoritolerans"
"H5B","4C","0.5",34.8214285714285,"Warm-preferred","B. thuringiensis"
"H5B","4C","1",30.5,"Warm-preferred","B. thuringiensis"
"H5B","4C","1.5",14.8780487804878,"Warm-preferred","B. thuringiensis"
"H5B","15C","0.5",31.563981042654,"Warm-preferred","B. thuringiensis"
"H5B","15C","1",72.8205128205129,"Warm-preferred","B. thuringiensis"
"H5B","15C","1.5",75.6818181818185,"Warm-preferred","B. thuringiensis"
"H5G","4C","0.5",38.8235294117648,"Warm-preferred","B. thuringiensis"
"H5G","4C","1",29.1044776119406,"Warm-preferred","B. thuringiensis"
"H5G","4C","1.5",37.6153846153845,"Warm-preferred","B. thuringiensis"
"H5G","15C","0.5",32.56,"Warm-preferred","B. thuringiensis"
"H5G","15C","1",43.0817610062893,"Warm-preferred","B. thuringiensis"
"H5G","15C","1.5",50.5074626865672,"Warm-preferred","B. thuringiensis"
"M2-3-i9","4C","0.5",99.609375,"Neutral","B. zhangzhouensis"
"M2-3-i9","4C","1",93.5869565217392,"Neutral","B. zhangzhouensis"
"M2-3-i9","4C","1.5",169.606299212598,"Neutral","B. zhangzhouensis"
"M2-3-i9","15C","0.5",97.8,"Neutral","B. zhangzhouensis"
"M2-3-i9","15C","1",38.1218274111675,"Neutral","B. zhangzhouensis"
"M2-3-i9","15C","1.5",25.2403846153846,"Neutral","B. zhangzhouensis"
"M2-3-i9","30C","0.5",87.3570324574961,"Neutral","B. zhangzhouensis"
"M2-3-i9","30C","1",42.5835866261398,"Neutral","B. zhangzhouensis"
"M2-3-i9","30C","1.5",49.5510835913313,"Neutral","B. zhangzhouensis"
"M2-6B2","4C","0.5",308.958333333333,"Cold-stimulated",NA
"M2-6B2","4C","1",251.605839416058,"Cold-stimulated",NA
"M2-6B2","4C","1.5",196.808510638298,"Cold-stimulated",NA
"M2-6B2","15C","0.5",35.7474600870827,"Cold-stimulated",NA
"M2-6B2","15C","1",36.597510373444,"Cold-stimulated",NA
"M2-6B2","15C","1.5",112.592592592593,"Cold-stimulated",NA
"M2-6B2","30C","0.5",69.9865771812081,"Cold-stimulated",NA
"M2-6B2","30C","1",48.75,"Cold-stimulated",NA
"M2-6B2","30C","1.5",254.656488549618,"Cold-stimulated",NA
"SW1B1","4C","0.5",24.252336448598,"Cold-stimulated","B. zhangzhouensis"
"SW1B1","4C","1",37.5524475524477,"Cold-stimulated","B. zhangzhouensis"
"SW1B1","4C","1.5",40.5714285714286,"Cold-stimulated","B. zhangzhouensis"
"SW1B1","15C","0.5",49.2572944297082,"Cold-stimulated","B. zhangzhouensis"
"SW1B1","15C","1",83.6842105263158,"Cold-stimulated","B. zhangzhouensis"
"SW1B1","15C","1.5",263.94495412844,"Cold-stimulated","B. zhangzhouensis"
"SW1B1","30C","0.5",104.623955431755,"Cold-stimulated","B. zhangzhouensis"
